P1;P2;P3;Meta
385;514;636;703
408;556;674;738
419;580;728;803
425;579;729;800
453;619;766;863
569;827;1035;1137
554;755;923;1012
511;735;941;1035
347;468;591;658
564;794;1008;1117
409;557;687;752
409;541;675;753
534;737;936;1034
470;653;821;911
564;825;1047;1195
351;479;596;651
616;865;1106;1214
496;680;859;942
589;819;1035;1168
452;663;871;953
423;563;699;769
375;519;686;758
471;674;846;956
544;773;992;1109
395;551;686;751
444;584;716;788
571;827;1035;1137
446;647;746;803
395;530;667;731
482;662;825;911
534;774;994;1094
500;711;902;1009
445;631;815;910
497;650;801;877
404;560;693;761
494;669;839;924
348;472;594;653
401;559;673;724
538;735;899;988
351;484;598;650
416;567;697;757
371;503;613;673
476;650;801;877
392;548;684;754
415;567;705;773
324;441;548;603
411;561;696;765
425;638;816;909
418;576;716;781
445;590;734;802
412;581;739;813
373;505;632;695
372;505;619;676
617;889;1167;1290
469;653;815;897
452;647;853;951
364;501;631;698
489;680;842;923
413;589;768;862
379;509;630;693
545;810;1036;1132
410;561;696;773
615;858;1088;1196
635;852;1092;1219
529;769;986;1100
630;889;1108;1221
418;582;713;777
452;616;773;854
527;734;926;1011
421;581;726;797
493;679;860;947
379;517;683;759
464;656;847;933
480;650;803;889
395;557;709;770
430;587;715;778
476;646;795;866
395;529;662;729
478;666;824;909
379;516;643;702
332;449;580;653
457;645;803;879
417;596;752;821
482;678;839;920
473;656;815;896
480;680;834;922
494;718;894;966
617;889;1167;1290
628;878;1121;1265
430;616;774;859
386;513;645;709
375;491;596;653
480;684;884;983
364;498;631;699
444;620;768;844
418;565;694;760
464;642;778;850
378;511;659;727
473;648;806;878
570;804;1025;1143
563;794;1008;1117
373;529;651;718
441;625;776;848
524;740;927;1023
422;557;693;757
314;415;519;574
406;561;709;785
375;507;633;706
396;540;683;748
426;566;730;795
424;570;716;790
472;649;792;874
455;671;831;909
523;714;892;988
582;766;923;1012
507;713;913;1000
369;511;645;709
565;827;1035;1137
473;648;775;839
462;632;818;897
703;1001;1278;1398
486;659;793;865
312;418;517;571
532;720;919;1019
383;509;622;685
472;649;792;874
481;680;844;930
505;696;884;984
346;482;612;688
345;456;562;618
416;545;680;743
413;579;717;796
571;827;1034;1137
406;565;763;920
371;526;654;727
521;729;931;1034
345;467;593;649
351;465;581;644
445;615;756;831
474;670;831;909
433;579;701;768
449;616;773;854
469;653;815;897
415;562;705;778
550;778;986;1091
555;755;923;1012
508;706;882;964
417;588;723;789
412;559;691;754
430;587;715;778
582;779;973;1130
380;513;645;708
430;610;775;851
565;781;1027;1139
576;810;1038;1147
529;739;927;1017
414;561;709;775
420;572;730;808
421;581;726;791
419;580;728;803
490;662;803;878
521;729;931;1034
389;552;683;812
479;690;946;1149
529;769;987;1100
347;467;586;641
452;621;785;878
345;467;593;649
495;650;813;887
511;716;887;971
570;804;1025;1143
451;638;792;875
476;649;775;836
470;648;807;881
436;578;725;790
546;810;1036;1132
317;427;539;592
479;658;832;936
458;654;793;866
332;450;586;649
446;647;813;898
344;470;599;667
275;366;458;507
339;458;572;636
415;582;723;789
343;465;579;696
374;507;625;685
470;648;807;881
422;585;733;806
532;716;880;964
418;545;682;755
473;671;845;937
392;601;781;839
521;713;876;953
416;573;721;795
274;362;447;491
355;495;623;682
539;758;944;1040
426;581;737;808
371;505;634;698
276;380;482;533
535;732;938;1028
527;748;963;1071
430;582;713;783
460;638;802;877
401;573;740;808
388;529;658;719
400;558;692;754
321;437;548;608
341;464;584;644
462;644;807;886
529;769;986;1100
390;541;662;792
703;1001;1278;1398
413;604;738;802
427;581;737;808
275;378;482;535
287;381;475;526
576;810;1037;1147
395;544;693;771
546;781;1013;1139
408;568;732;802
542;739;939;1032
563;826;1135;1297
388;551;701;773
550;781;1002;1137
548;770;950;1039
494;690;858;945
386;509;625;682
375;511;659;726
473;663;830;925
555;755;923;1012
482;680;844;930
422;570;713;779
392;548;684;757
419;567;709;780
376;513;631;687
354;485;603;671
444;637;816;909
496;693;877;958
510;706;882;964
468;628;780;858
485;686;887;988
318;420;528;584
421;588;750;831
452;606;754;823
540;752;978;1074
615;865;1105;1214
511;735;941;1035
599;876;1088;1180
458;654;793;866
423;570;715;787
413;577;724;807
303;410;512;566
535;766;1002;1118
507;695;865;949
363;504;631;769
468;615;768;840
419;569;697;769
546;810;1036;1132
401;545;686;752
615;858;1088;1195
635;886;1144;1279
383;504;631;699
364;489;596;662
486;659;797;875
306;410;516;575
480;684;856;943
